,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Africa Eastern and Southern,AFE,212185847636.195,220607545655.716,220063005938.32,233869615673.327,238919172017.812,269498561282.166,268250521535.699,282013878700.82,265649661675.879,262011704777.849,283751640320.985,258660109000.795,264707648997.268,352442599635.079,438565119110.543,511897508172.382,575568771652.068,660774462147.457,707853210440.607,712053896956.71,846810044359.644,942710850898.201,949849051927.147,963560356978.003,983748641613.9,918647122201.58,872023488531.325,984255550008.411,1011723274893.29,1008375499870.66,918815487643.222
3,Africa Western and Central,AFW,121802185300.139,117457042740.623,118282284598.653,98826405551.0238,86281770253.474,108221322522.552,125763049173.424,127063932192.747,130106844606.853,137520164451.485,140407973778.931,148012003011.166,176933365387.396,204641949829.561,254090255061.055,310554338477.887,393296680919.431,461777599573.788,566425696836.635,506996402016.437,591582966686.497,670962551547.58,727571396578.054,820787588844.362,851487150651.953,760729687146.574,690543020916.229,683741574626.192,741691624372.788,794572474605.872,784587603322.866
5,Albania,ALB,2028553750.0,1099559027.77778,652174990.837304,1185315468.46295,1880951520.3972,2392764853.42107,3199641335.93751,2258513974.0968,2545964540.88383,3212121650.97755,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052073539.38058,8896072918.9814,10677324144.4289,12881353507.8539,12044208085.864,11926922828.9911,12890764531.3284,12319830437.3467,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15400242874.8812,14887629268.2927
7,Arab World,ARB,622546502910.267,438682148808.174,473712092203.663,482663391259.195,507659657046.364,555939076958.984,614062290581.847,662176074566.767,644356749485.222,712683742625.907,815844667571.601,798335007342.79,802951234861.09,887662901502.109,1056020815870.57,1297615397410.14,1532823526115.71,1789133966865.72,2253682728963.4,1973891055458.68,2302594798940.35,2491545638942.8,2728987909781.9,2787516210230.63,2818609932968.74,2452006404164.22,2400962304203.33,2455071315221.43,2717932648633.48,2763204997182.88,2436287867170.8
8,United Arab Emirates,ARE,50701443748.2975,51552165622.4462,54239171887.769,55625170253.337,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.818,109816201497.617,124346358066.712,147824370319.946,180617467964.602,222116541865.214,257916133424.098,315474615738.598,253547358747.447,289787338325.391,350666031313.819,374590605854.323,390107556160.654,403137100068.074,358135057862.492,357045064669.843,385605506848.196,422215043594.282,417215559513.364,358868765174.924
9,Argentina,ARG,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,451932356085.842,389288056265.325
10,Armenia,ARM,2256838857.60997,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13619291361.2814,12641209802.112
12,Antigua and Barbuda,ATG,459470370.37037,481707407.407407,499281481.481481,535174074.074074,589429629.62963,577281481.481481,633729629.62963,680618518.518518,727859259.259259,766200000.0,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000.0,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605944444.44444,1687533333.33333,1370281481.48148
13,Australia,AUS,311326664101.578,325902990346.127,325480273782.973,312126194491.287,322807333102.733,367915800415.8,401089529590.288,435323994365.315,399404463135.047,389098884572.001,415576210513.094,379083932596.329,395342716617.832,467390797903.32,614166310997.297,695075176665.163,747556154537.287,853955405511.502,1055127126230.98,928042998085.702,1147589183475.73,1397907916789.9,1546508558465.66,1576335282651.07,1467504819608.92,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51
14,Austria,AUT,166463386179.354,173794177961.108,195078126721.763,190379720809.18,203535242741.838,241038283062.645,237250948791.266,212790348404.555,218259904401.956,217185787342.851,196799778883.361,197337879194.631,213377771503.858,261695778781.038,300904221504.842,315974418604.651,335998557270.104,388691445387.353,430294287388.311,400172297860.517,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441996131736.508,381817565893.574,395568644341.038,416230497429.163,454945881027.378,445011872704.47,433258467676.515
