,index,China,United States,India,Russia,Indonesia,Brazil,Japan,Iran,Germany,Canada,Mexico,Democratic Republic of the Congo,South Korea,Saudi Arabia,Australia,South Africa,Turkey,United Kingdom,Pakistan,Thailand,Argentina,Malaysia,Italy,Vietnam,France,Nigeria,Poland,Egypt,Spain,Venezuela,Kazakhstan,Colombia,United Arab Emirates,Ukraine,Philippines,Uzbekistan,Myanmar,Bangladesh,Algeria,Iraq,Ethiopia,Peru,Netherlands,Tanzania,Sudan,Bolivia,Turkmenistan,Angola,Cameroon,Zimbabwe,Czech Republic,Kuwait,Mozambique,Belgium,Chad,Libya,Qatar,Afghanistan,Paraguay,Zambia,Morocco,Ecuador,Israel,Central African Republic,Greece,Romania,Oman,Azerbaijan,Kenya,New Zealand,Uganda,Cambodia,South Sudan,Austria,Portugal,Belarus,Singapore,Papua New Guinea,Hungary,Serbia,Ireland,Finland,Botswana,Mongolia,Burkina Faso,Nepal,Chile,C��te d'Ivoire,Bahrain,Denmark,Solomon Islands,Syria,Niger,North Korea,Somalia,Switzerland,Mali,Madagascar,Guinea,Slovakia,Cuba,Guatemala,Nicaragua,Laos,Dominican Republic,Tunisia,Sri Lanka,Jordan,Uruguay,Senegal,Lebanon,Sweden,Norway,Honduras,Benin,Malawi,Bosnia and Herzegovina,Equatorial Guinea,Trinidad and Tobago,Liberia,Namibia,Panama,Yemen,Estonia,Republic of Congo,Ghana,Bulgaria,Guyana,Lithuania,Croatia,Slovenia,Brunei,Georgia,Tajikistan,Kyrgyzstan,Gabon,El Salvador,Moldova,Suriname,Mauritania,Sierra Leone,Haiti,Macedonia,Jamaica,Luxembourg,Albania,Armenia,Togo,Burundi,Latvia,Costa Rica,Cyprus,Eritrea,Rwanda,Belize,Mauritius,Timor-Leste,Lesotho,Guinea-Bissau,Montenegro,Barbados,Iceland,Gambia,Eswatini,Bahamas,Maldives,Grenada,Malta,Djibouti,Antigua and Barbuda,Bhutan,Vanuatu,Samoa,Seychelles,Cape Verde,Comoros,Saint Lucia,Andorra,Sao Tome and Principe,Saint Kitts and Nevis,Saint Vincent and the Grenadines,Tonga,Palau,Fiji,Micronesia,Marshall Islands,Dominica,Liechtenstein,Kiribati,Cook Islands,Nauru,Tuvalu,Niue
0,1990,2873.71,5543.47,1009.44,2885.12,1257.1,1642.29,1109.37,240.54,1109.28,626.36,417.45,434.87,244.25,190.64,558.21,319.52,189.27,746.4,166.5,174.02,288.37,207.11,456.75,1.17,477.92,249.87,429.16,129.43,232.63,325.64,308.25,217.08,69.71,873.7,98.21,197.93,207.89,115.06,95.67,78.65,94.1,103.85,205.44,102.75,73.23,104.98,79.18,65.18,71.93,43.18,172.9,32.05,84.89,126.81,24.94,105.32,14.08,12.79,75.16,77.42,34.78,70.4,43.95,64.44,94.44,245.92,14.79,75.17,34.15,45.17,34.0,25.99,36.66,62.79,57.84,104.36,31.56,38.45,90.74,79.12,54.11,38.27,54.94,34.47,26.04,20.6,30.34,69.67,14.06,68.51,4.31,57.85,19.16,165.49,42.49,51.19,17.91,55.62,21.05,57.56,43.7,28.77,29.61,20.45,8.65,18.94,29.15,18.67,15.54,19.19,7.23,70.26,30.91,17.8,20.31,19.42,33.41,4.04,15.23,17.13,0.0,14.11,12.37,37.37,13.88,22.89,76.59,9.59,45.88,27.85,8.35,15.51,33.78,17.82,31.63,11.08,8.25,38.12,6.12,7.12,7.47,5.13,13.98,9.39,11.56,11.51,24.44,6.89,8.33,12.38,11.34,5.35,4.12,6.68,13.2,2.26,0.92,3.33,3.35,2.24,3.12,3.38,5.16,2.61,2.04,0.21,1.84,2.52,0.99,0.36,-5.46,0.5,0.47,0.22,-0.27,0.34,0.75,0.43,0.1,0.19,0.11,0.25,0.0,-0.72,0.0,0.0,0.24,0.25,0.04,0.03,0.13,0.02,0.01
1,1991,3023.38,5501.92,1064.49,2788.7,1274.43,1669.56,1123.86,280.88,1079.69,622.29,435.45,433.76,269.59,212.83,558.13,315.46,191.74,761.64,167.45,186.02,293.36,214.67,454.34,4.03,502.72,260.06,424.94,135.07,238.82,327.42,318.28,218.85,76.25,828.09,98.27,200.66,207.34,115.24,94.54,58.3,95.87,102.62,210.79,103.0,74.13,105.78,69.95,65.85,71.62,43.48,156.17,38.74,84.87,131.76,31.37,102.72,16.24,12.71,72.17,76.95,36.19,71.25,45.03,65.19,94.55,203.46,19.16,84.19,32.92,44.62,34.55,25.8,37.56,66.99,59.56,99.3,34.74,39.5,85.72,68.81,54.68,38.18,54.38,36.71,26.49,20.99,29.62,75.4,13.76,79.13,4.32,62.21,19.68,157.99,39.63,53.4,17.87,55.72,21.37,49.51,34.84,29.24,28.25,20.31,9.8,19.98,29.1,19.14,17.16,19.58,8.73,70.91,28.34,17.94,20.44,18.71,30.87,4.09,14.15,16.85,19.94,14.62,14.02,33.58,16.1,23.16,59.37,9.81,47.61,21.34,7.32,15.11,23.65,16.95,29.36,11.26,9.1,32.03,6.47,7.36,7.46,5.35,13.31,9.39,12.04,9.15,25.07,6.71,8.44,10.66,11.61,5.87,4.66,6.66,13.41,2.36,0.99,3.39,3.36,2.23,3.15,3.26,5.32,2.65,2.14,0.21,1.86,2.43,1.01,0.37,-5.41,0.51,0.47,0.24,-0.26,0.34,0.77,0.43,0.1,0.19,0.11,0.27,0.01,-0.7,-0.02,0.03,0.24,0.25,0.04,0.03,0.13,0.02,0.01
2,1992,3154.54,5583.8,1096.71,2551.94,1295.01,1679.5,1137.15,301.84,1032.01,638.22,438.32,434.16,294.15,227.52,560.3,312.42,199.22,739.51,176.65,197.92,297.76,221.4,451.12,6.54,487.97,272.23,414.15,140.18,248.65,331.42,319.1,222.51,74.82,735.92,100.41,190.34,209.89,117.14,94.16,80.01,98.4,103.48,210.18,103.0,77.76,107.6,56.19,66.17,71.57,44.29,151.72,26.33,85.21,129.84,32.25,99.77,16.42,11.25,71.53,76.27,37.31,73.51,47.82,65.67,96.63,182.02,18.13,60.44,32.92,45.48,34.87,26.45,40.03,61.2,63.58,85.47,37.34,40.5,75.77,63.54,54.89,35.07,54.65,34.57,26.79,20.85,31.95,80.99,15.78,72.94,4.34,63.36,20.23,143.85,37.7,53.31,17.93,56.05,21.7,46.97,28.9,30.51,29.16,20.56,11.31,20.73,30.95,21.89,18.77,20.12,8.78,73.46,28.89,18.27,20.56,17.84,23.34,4.15,13.1,16.73,19.89,15.29,14.8,25.79,16.01,23.88,53.5,9.8,32.84,22.36,7.06,15.45,15.56,13.94,21.71,11.46,9.51,26.81,6.58,7.23,7.57,5.76,12.72,10.18,11.72,7.09,14.95,6.4,8.48,7.97,12.71,6.29,5.7,6.59,13.63,2.45,0.99,3.61,3.4,2.11,3.39,3.06,5.44,2.6,2.8,0.28,1.92,2.41,1.02,0.45,-5.42,0.53,0.47,0.24,-0.22,0.34,0.88,0.43,0.1,0.23,0.15,0.25,0.21,-0.65,0.09,0.11,0.26,0.26,0.04,0.03,0.13,0.02,0.01
3,1993,3377.79,5691.26,1128.44,2294.62,1311.27,1689.7,1129.63,300.14,1024.31,636.25,458.0,434.53,325.01,235.98,559.98,320.86,205.73,722.61,186.47,214.03,300.27,224.79,444.81,13.23,469.18,272.12,413.64,142.45,233.85,337.76,277.48,226.53,77.76,646.85,105.92,222.25,212.57,118.35,101.7,103.01,93.88,104.65,215.69,103.0,79.7,109.37,53.18,66.96,75.74,40.75,147.0,32.97,85.61,127.66,33.22,100.49,17.34,11.08,71.75,74.99,37.0,73.27,51.88,66.16,97.0,170.57,17.47,68.59,32.72,44.56,35.31,27.38,42.06,61.12,62.5,72.69,44.23,41.56,76.32,57.78,55.54,36.31,54.33,33.37,27.05,21.8,33.32,86.68,16.67,75.5,4.35,63.85,20.95,134.39,39.7,50.85,18.15,56.51,22.07,44.27,25.11,31.27,29.83,20.52,11.84,22.3,31.4,22.63,19.31,20.47,12.17,73.42,30.74,18.09,20.68,17.09,19.89,5.12,13.65,16.56,19.85,15.56,13.92,19.99,15.98,24.38,52.02,9.94,26.92,23.25,7.77,15.86,9.3,11.1,16.86,11.51,10.05,23.42,6.52,7.44,7.66,5.4,12.72,10.37,11.93,7.03,8.77,6.3,8.5,4.78,12.77,6.56,5.8,6.51,13.7,2.61,1.03,3.62,3.43,2.12,3.24,3.02,5.56,2.32,2.37,0.26,1.91,3.05,1.04,0.43,-5.45,0.56,0.48,0.26,-0.22,0.35,0.88,0.44,0.1,0.22,0.15,0.26,0.21,-0.59,0.09,0.11,0.26,0.26,0.05,0.03,0.12,0.02,0.01
4,1994,3528.81,5782.2,1174.78,2011.47,1327.87,1706.03,1186.79,332.67,1011.41,656.82,483.6,434.86,352.61,250.09,563.06,326.81,200.92,711.75,193.14,228.84,305.35,231.7,439.52,18.85,463.44,270.78,408.95,138.13,246.79,340.51,252.51,228.62,84.37,551.55,113.69,199.69,215.09,120.8,99.45,114.03,96.28,107.18,215.43,104.0,84.18,111.44,57.44,67.1,132.18,40.49,139.71,37.81,85.58,133.02,34.21,105.69,18.23,10.88,71.74,73.43,40.11,74.88,55.21,69.1,99.62,167.11,17.38,62.05,32.98,46.29,35.06,26.3,43.97,61.22,64.41,59.65,47.8,42.44,75.97,54.1,57.02,42.92,54.61,31.6,27.52,22.89,36.84,92.51,17.13,79.2,4.37,67.26,21.5,124.95,41.67,49.97,18.41,56.47,22.49,41.56,26.44,31.59,30.15,20.83,13.84,22.29,32.32,23.71,19.19,20.89,13.12,75.23,32.28,18.8,20.97,15.83,9.57,5.18,14.2,16.39,20.04,15.86,14.3,19.11,15.75,24.85,48.13,10.23,24.9,23.33,7.85,16.28,1.96,8.63,11.68,11.19,10.73,20.35,6.55,7.37,7.64,4.9,12.27,10.41,11.09,7.87,6.24,6.59,8.44,1.8,13.16,6.81,6.51,6.38,13.8,2.69,1.11,3.63,3.46,2.13,3.32,3.1,5.1,2.68,2.3,0.27,1.93,2.76,1.05,0.43,-5.42,0.56,0.52,0.28,-0.23,0.36,0.93,0.44,0.11,0.23,0.17,0.27,0.21,-0.54,0.1,0.12,0.26,0.25,0.04,0.03,0.12,0.02,0.01
5,1995,3918.3,5843.9,1240.44,1930.88,1360.88,1726.08,1201.85,349.89,1004.79,672.53,464.6,434.85,384.99,255.07,571.19,337.33,215.5,702.55,203.61,247.92,305.93,239.11,464.51,25.03,472.18,265.37,408.44,147.11,260.7,349.03,220.83,231.69,90.78,521.01,125.88,190.94,218.2,125.86,103.66,110.0,98.44,111.96,220.82,108.0,85.38,111.02,59.38,71.47,132.22,40.35,139.69,38.22,85.82,133.19,35.24,107.57,19.1,11.09,73.74,70.94,40.73,78.0,59.03,69.67,104.03,172.66,19.32,60.01,33.33,47.55,35.88,28.47,44.75,63.69,68.18,51.66,49.15,45.96,74.3,60.67,57.85,38.94,55.54,32.52,27.9,24.1,40.3,92.5,17.96,76.11,4.39,71.42,22.15,117.3,42.35,50.9,18.75,56.91,22.9,42.15,28.2,32.69,29.54,20.82,14.35,22.96,32.47,23.34,19.4,21.26,15.39,74.78,31.6,19.59,20.82,16.27,9.48,5.23,14.38,16.25,20.15,16.08,15.82,17.42,15.9,25.42,49.35,11.02,23.29,24.61,8.72,16.79,-1.49,8.04,8.99,11.06,10.98,18.29,6.67,7.47,7.31,5.69,11.91,10.73,8.94,7.63,6.85,6.62,8.66,0.13,12.73,6.7,7.11,6.15,12.71,2.75,1.13,3.59,3.49,2.19,3.37,3.04,4.63,2.68,2.36,0.33,1.96,2.62,1.1,0.46,-5.32,0.57,0.52,0.28,-0.2,0.36,0.89,0.46,0.11,0.24,0.18,0.26,0.21,-0.48,0.16,0.12,0.27,0.25,0.05,0.04,0.11,0.02,0.01
6,1996,3954.75,6010.62,1289.63,1889.18,1179.0,1735.71,1215.95,364.14,1032.92,696.88,490.56,430.38,412.92,269.71,571.01,347.87,233.26,722.68,210.65,268.47,319.81,247.37,460.76,32.87,490.93,276.14,423.05,154.53,254.16,363.45,192.78,232.23,96.09,459.23,134.83,193.36,215.9,126.39,104.99,111.75,102.16,115.54,231.75,101.0,89.75,111.71,56.92,73.33,132.5,42.27,141.3,37.79,71.6,138.55,38.44,109.81,20.05,12.05,73.7,59.95,41.41,81.38,62.13,58.69,105.1,175.94,19.7,55.36,32.87,48.09,36.7,24.76,48.88,67.41,66.63,52.41,50.59,45.38,76.57,68.16,59.34,45.39,56.98,31.88,27.83,24.77,46.64,92.25,19.34,89.58,4.4,74.64,22.95,105.49,42.82,51.49,19.21,57.56,22.36,42.19,31.3,33.19,29.56,21.09,15.27,24.45,32.19,22.57,20.7,22.56,16.41,80.33,32.45,19.15,22.14,16.44,10.56,7.25,14.64,16.29,20.04,16.03,16.48,18.3,14.68,26.37,49.88,11.38,24.04,23.96,9.54,17.09,-3.12,7.41,9.93,10.82,10.89,16.53,6.78,7.99,6.56,5.97,13.44,11.07,9.02,7.36,5.78,7.14,8.67,0.12,12.68,7.08,7.61,6.29,11.55,2.92,1.15,3.59,3.14,2.22,3.38,3.29,4.3,2.56,2.3,0.35,1.99,2.57,1.15,0.49,-5.29,0.59,0.53,0.32,-0.21,0.37,0.82,0.49,0.11,0.24,0.18,0.24,0.21,-0.43,0.16,0.12,0.24,0.26,0.05,0.04,0.11,0.02,0.01
7,1997,3963.61,6258.47,1348.09,1755.59,2142.82,1766.32,1203.81,381.58,994.92,709.57,518.59,436.63,438.77,253.57,582.28,361.36,242.39,701.07,217.56,275.67,322.34,257.86,464.54,40.65,480.98,266.82,412.81,163.95,275.71,370.45,164.97,237.26,103.86,434.81,143.44,187.84,213.58,128.66,109.08,130.3,107.08,116.84,222.95,101.0,97.46,112.74,57.69,71.74,133.37,41.44,138.79,39.28,69.33,135.36,40.17,109.57,21.69,12.95,74.9,58.16,43.36,83.43,65.15,62.37,106.21,163.31,21.28,55.45,32.9,50.39,38.19,26.06,53.72,66.4,68.93,52.84,50.69,59.93,74.9,73.0,60.84,43.45,56.61,34.06,28.37,25.68,53.95,93.13,20.33,79.91,4.42,75.09,23.53,97.42,43.24,50.03,20.19,56.97,22.8,42.0,33.75,33.65,30.4,20.68,16.96,25.15,30.06,22.07,20.38,23.12,18.62,74.08,34.06,19.47,22.43,16.49,15.47,8.88,15.18,16.45,19.89,15.94,17.82,17.88,15.25,27.77,47.36,11.72,23.81,25.44,10.02,17.99,-3.83,7.65,9.82,10.66,11.73,14.82,6.76,8.28,6.54,6.37,12.26,11.21,8.52,6.65,6.39,6.92,8.71,-0.44,12.78,7.17,8.09,6.41,10.57,3.03,1.16,3.61,3.18,2.25,3.49,3.27,3.99,2.89,2.1,0.42,2.02,2.73,1.18,0.52,-5.2,0.6,0.53,0.43,-0.2,0.37,0.75,0.51,0.11,0.25,0.19,0.25,0.22,-0.43,0.16,0.12,0.25,0.27,0.05,0.05,0.11,0.02,0.01
8,1998,4103.23,6293.8,1382.26,1740.23,1373.56,1800.62,1156.66,389.67,968.6,726.1,554.43,438.56,373.96,271.9,608.08,368.91,243.59,697.42,221.37,257.4,326.15,288.83,475.84,51.84,497.02,258.68,382.95,170.77,285.23,370.61,164.26,239.0,108.39,406.96,137.3,198.82,219.89,128.46,114.42,96.75,113.73,117.11,223.08,105.0,104.16,113.75,59.91,79.62,137.23,42.75,132.16,45.51,72.05,138.13,44.74,111.01,23.13,13.71,75.13,57.15,44.29,82.35,66.52,67.96,110.45,145.8,21.51,56.29,34.26,48.89,39.76,29.56,59.09,66.38,74.08,50.95,49.66,46.37,74.76,72.71,64.24,39.81,56.43,33.7,29.15,26.84,55.16,93.17,22.17,75.85,4.43,78.35,24.52,88.91,43.12,51.57,24.64,58.19,24.27,40.81,33.23,37.53,31.37,22.36,18.86,26.53,27.46,21.28,19.94,24.38,18.97,74.87,35.64,19.98,23.55,16.82,18.31,10.37,15.59,16.65,20.62,16.98,19.24,17.37,15.15,31.33,43.51,11.88,24.69,25.8,9.75,21.65,-4.32,7.59,10.03,10.49,11.81,13.36,6.83,8.56,6.67,6.51,13.03,11.78,7.84,6.88,6.31,7.89,8.73,-0.87,13.53,7.49,8.09,6.57,9.6,3.31,1.18,3.63,3.41,2.25,3.61,3.42,3.72,2.99,2.62,0.4,2.06,2.63,1.19,0.57,-5.19,0.6,0.54,0.52,-0.17,0.39,0.66,0.54,0.11,0.27,0.23,0.24,0.22,-0.47,0.17,0.13,0.25,0.28,0.05,0.05,0.11,0.02,0.01
9,1999,4053.37,6291.25,1460.24,1772.68,1261.56,1810.51,1182.31,427.53,934.16,723.75,533.02,430.8,411.82,278.67,643.6,347.85,243.49,671.25,233.94,267.19,332.24,267.24,483.07,55.08,486.59,249.74,372.24,179.61,309.99,365.07,148.12,228.71,112.69,403.27,142.9,205.67,225.41,132.37,120.4,80.16,115.5,121.44,210.62,104.74,107.8,119.22,66.86,77.65,136.42,45.06,124.05,49.76,70.86,134.27,46.58,109.46,25.37,14.53,78.31,53.22,46.47,79.72,68.72,64.61,111.37,130.19,24.85,56.6,36.48,51.14,39.72,29.09,62.44,64.56,80.82,48.68,50.61,47.51,75.48,55.38,65.8,39.13,56.5,33.78,29.07,28.75,57.97,94.44,22.86,73.01,4.45,77.33,25.16,92.8,43.22,51.69,25.91,57.91,23.84,39.35,33.57,36.22,31.95,20.98,19.5,27.97,26.75,20.34,20.96,26.64,19.94,73.6,37.58,18.96,23.33,16.93,18.3,12.09,15.79,16.68,20.66,16.1,21.07,16.43,14.98,30.34,36.58,11.94,21.94,25.41,9.06,17.48,-4.62,7.11,8.68,10.15,11.98,12.0,6.88,9.13,6.34,6.65,12.13,12.1,8.23,8.09,5.8,8.36,8.73,-1.52,13.33,7.77,8.25,6.76,8.44,3.84,1.07,4.13,3.77,2.23,3.65,3.4,3.66,3.02,2.58,0.52,2.07,2.67,1.23,0.59,-5.13,0.61,0.54,0.61,-0.13,0.4,0.58,0.57,0.11,0.27,0.22,0.26,0.22,-0.5,0.17,0.13,0.25,0.28,0.05,0.05,0.1,0.02,0.01
